priority,tier,session,signal,q,body,source,topics,title,url,path
1,1,v2-overnight,9,0.96,8000,eyeondesign.aiga.org,Movement & History|Process & Studio,The 11 Types of Trendy Graphic Design Paul Rand Hated &#8211; Eye on Design,https://eyeondesign.aiga.org/the-11-types-of-trendy-graphic-design-paul-rand-hated/,
2,1,v2-overnight,9,0.92,8000,eyeondesign.aiga.org,Color & Palette|AI & Design,How Computer Code Became a Modern Design Medium—an Oral History &#8211; Eye on Design,https://eyeondesign.aiga.org/how-an-mit-research-group-turned-computer-code-into-a-modern-design-medium/,
3,1,v2-overnight,9,0.96,8000,eyeondesign.aiga.org,Typography & Type|AI & Design,"Celebrating Söre Popitz, the Bauhaus’ Only Known Woman Graphic Designer &#8211; Eye on Des",https://eyeondesign.aiga.org/sore-popitz-meet-the-bauhauss-only-known-woman-graphic-designer/,
4,1,v2-overnight,9,0.90,8000,typographica.org,Typography & Type|Editorial & Print,Max Bill kontra Jan Tschichold: Der Typografiestreit der Moderne &#8211; Typographica,https://typographica.org/typography-books/max-bill-kontra-jan-tschichold-der-typographiestreit-der-moderne/,
5,1,v2-overnight,9,1.00,8000,www.pentagram.com,Color & Palette|Branding & Identity,Colin Forbes on the Structure of Pentagram,https://www.pentagram.com/news/colin-forbes-on-the-structure-of-pentagram,
6,1,v2-overnight,9,1.00,8000,eyeondesign.aiga.org,Color & Palette|Branding & Identity,“Epically Long”—How Pentagram Chooses Its New Partners &#8211; Eye on Design,https://eyeondesign.aiga.org/epically-long-how-pentagram-chooses-its-new-partners/,
7,1,v2-overnight,9,1.00,8000,www.pentagram.com,Branding & Identity|Web & UI,Pentagram — The world’s largest independent design consultancy,https://www.pentagram.com,
8,1,v2-overnight,9,1.00,8000,www.pentagram.com,Branding & Identity|Web & UI,Pentagram — The world’s largest independent design consultancy,http://www.pentagram.com/,
9,1,v2-overnight,9,1.00,7067,www.pentagram.com,Branding & Identity|Typography & Type,Live from New York: The Lorne Michaels Collection,https://www.pentagram.com/work/live-from-new-york-the-lorne-michaels-collection,
10,1,v2-overnight,9,1.00,6873,www.pentagram.com,Branding & Identity|AI & Design,Pentagram,https://www.pentagram.com/arts-culture,
11,1,v2-overnight,9,1.00,6463,www.itsnicethat.com,Branding & Identity|Typography & Type,Riz Ahmed’s new show Bait has a spy-spoof title sequence masterminded by Pentagram partner,https://www.itsnicethat.com/articles/luke-powell-jody-hudson-powell-bait-titles-graphic-design-project-200426,
12,1,v2-overnight,9,0.89,6014,www.pentagram.com,Branding & Identity|Layout & Grid,MoN Takanawa: The Museum of Narratives,https://www.pentagram.com/work/mon-takanawa-the-museum-of-narratives,
13,1,v2-overnight,9,1.00,5806,www.pentagram.com,Branding & Identity|Process & Studio,St Paul’s Cathedral,https://www.pentagram.com/work/st-paul-s-cathedral,
14,1,v2-overnight,9,1.00,5775,www.pentagram.com,Branding & Identity|Typography & Type,Pentagram,https://www.pentagram.com/entertainment,
15,1,v2-overnight,9,0.91,5586,www.pentagram.com,Branding & Identity|Typography & Type,Work — Browse by type of client,https://www.pentagram.com/work,
16,1,v2-overnight,9,0.96,5024,www.pentagram.com,Branding & Identity|Photography,Mosaic Rooms,https://www.pentagram.com/work/mosaic-rooms,
17,1,v2-overnight,9,1.00,5014,www.pentagram.com,Branding & Identity|Web & UI,Pentagram,https://www.pentagram.com/manufacturing-industrials,
18,1,v2-overnight,8,0.92,8000,eyeondesign.aiga.org,Typography & Type|Color & Palette,Eye on Design &#8211; AIGA Eye on Design,https://eyeondesign.aiga.org/,
19,1,v2-overnight,8,0.94,8000,eyeondesign.aiga.org,Color & Palette|Typography & Type,"The ’80s Are Back, Baby &#8211; Eye on Design",https://eyeondesign.aiga.org/the-80s-are-back-baby/,
20,1,v2-overnight,8,0.85,8000,eyeondesign.aiga.org,Branding & Identity|AI & Design,"Unconventional Sleep Aids Are in Vogue, and They’re Designed To Chill You Out &#8211; Eye ",https://eyeondesign.aiga.org/food-and-beverage-packaging-is-getting-very-sleepy/,
21,1,v2-overnight,8,0.92,8000,eyeondesign.aiga.org,AI & Design|Editorial & Print,Why Pay Transparency Matters in Job Negotiations &#8211; Eye on Design,https://eyeondesign.aiga.org/why-pay-transparency-matters-in-job-negotiations/,
22,1,v2-overnight,8,0.96,8000,eyeondesign.aiga.org,Typography & Type|Branding & Identity,Can Better Labels Really Fix Recycling? &#8211; Eye on Design,https://eyeondesign.aiga.org/can-better-labels-really-fix-recycling/,
23,1,v2-overnight,8,0.95,8000,eyeondesign.aiga.org,Editorial & Print|Photography,Tradeswomen Was the Magazine for Women in Blue-Collar Work During the ’80s and ’90s &#8211,https://eyeondesign.aiga.org/tradeswomen-was-the-magazine-for-women-in-blue-collar-work-during-the-80s-and-90s/,
24,1,v2-overnight,8,0.94,8000,eyeondesign.aiga.org,Color & Palette|AI & Design,How Cranbrook’s Design Program Redefined How We Make and Talk About Graphic Design &#8211;,https://eyeondesign.aiga.org/how-cranbrooks-design-program-redefined-how-we-make-and-talk-about-graphic-design/,
25,1,v2-overnight,8,0.95,8000,eyeondesign.aiga.org,Editorial & Print|AI & Design,"In the ’70s, the Dalit Panthers Made Pocket-Sized Magazines That Challenged Social Hierarc",https://eyeondesign.aiga.org/in-the-70s-the-dalit-panthers-made-pocket-sized-magazines-that-challenged-social-hierarchies-in-india/,
26,1,v2-overnight,8,0.92,8000,eyeondesign.aiga.org,Typography & Type|Color & Palette,Eye on Design &#8211; AIGA Eye on Design,https://eyeondesign.aiga.org/category/design/profile/,
27,1,v2-overnight,8,1.00,8000,webdesignerdepot.com,Web & UI|Editorial & Print,Compilation: 15 Hilarious Google Flops,https://webdesignerdepot.com/compilation-15-hilarious-google-flops/,
28,1,v2-overnight,8,1.00,8000,typographica.org,Typography & Type|Process & Studio,A Grammar of Typography: Classical Book Design in the Digital Age &#8211; Typographica,https://typographica.org/typography-books/a-grammar-of-typography-classical-book-design-in-the-digital-age/,
29,1,v2-overnight,8,0.99,8000,typographica.org,Typography & Type|Material & 3D,Size-specific Adjustments to Type Designs &#8211; Typographica,https://typographica.org/typography-books/size-specific-adjustments-to-type-designs/,
30,1,v2-overnight,8,0.88,8000,typographica.org,Typography & Type|Editorial & Print,"The Elements of Typographic Style, Version&nbsp;4.0 &#8211; Typographica",https://typographica.org/typography-books/the-elements-of-typographic-style-4th-edition/,
31,1,v2-overnight,8,1.00,8000,typographica.org,Typography & Type|Color & Palette,Just My Type: A Book About Fonts &#8211; Typographica,https://typographica.org/typography-books/just-my-type-a-book-about-fonts/,
32,1,v2-overnight,8,0.90,8000,typographica.org,Typography & Type|Branding & Identity,Chahine &#038; Samarskaya Cochair TDC’S 25th Type Design Competition &#8211; Typographica,https://typographica.org/on-typography/interview/nadine-chahine-ksenya-samarskaya-cochair-the-tdcs-25th-typeface-design-competition/,
33,1,v2-overnight,8,0.90,8000,typographica.org,Typography & Type|Material & 3D,Type Design in the Museum: Acquiring the Immaterial &#8211; Typographica,https://typographica.org/on-typography/type-design-in-the-museum-acquiring-the-immaterial/,
34,1,v2-overnight,8,0.88,8000,typographica.org,Typography & Type|AI & Design,Carolina Laudon &#8211; Typographica,https://typographica.org/on-typography/interview/carolina-laudon/,
35,1,v2-overnight,8,0.97,8000,typographica.org,Typography & Type|Color & Palette,Our Favorite Typefaces of 2005 &#8211; Typographica,https://typographica.org/on-typography/our-favorite-typefaces-of-2005/,
36,1,v2-overnight,8,0.89,8000,typographica.org,Typography & Type|Web & UI,https://typographica.org/wp-content/themes/typo/style.css,https://typographica.org/wp-content/themes/typo/style.css,
37,1,v2-overnight,8,0.95,8000,typographica.org,Typography & Type|Editorial & Print,Comments for Typographica,https://typographica.org/comments/feed/,
38,1,v2-overnight,8,0.87,8000,typographica.org,Typography & Type|Editorial & Print,https://typographica.org/wp-json/,https://typographica.org/wp-json/,
39,1,v2-overnight,8,1.00,8000,webdesignerdepot.com,Web & UI|Branding & Identity,Logo Design Trends for 2026: What I’m Actually Seeing (And What Most Designers Are Missing,https://webdesignerdepot.com/logo-design-trends-for-2026-what-im-actually-seeing-and-what-most-designers-are-missing/,
40,1,v2-overnight,8,1.00,8000,webdesignerdepot.com,Web & UI|Typography & Type,The Great Transition: Why the Design World is Re-Evaluating Figma,https://webdesignerdepot.com/the-great-transition-why-the-design-world-is-re-evaluating-figma/,
41,1,v2-overnight,8,1.00,8000,eyeondesign.aiga.org,Branding & Identity|AI & Design,Inside London’s Wolff Olins and Pentagram Studios &#8211; Eye on Design,https://eyeondesign.aiga.org/city-guides/london/inside-londons-wolff-olins-and-pentagram-studios/,
42,1,v2-overnight,8,1.00,8000,eyeondesign.aiga.org,Branding & Identity|AI & Design,"Michael Gericke on Maintaining Pentagram’s Rep, His Biggest Regrets + How He Nearly Became",https://eyeondesign.aiga.org/michael-gericke-on-maintaining-pentagrams-rep-his-biggest-regrets-how-he-nearly-became-a-ski-bum-instead/,
